query_sample_id,query_index,query_label,query_project,query_code_chars,query_code_lines,query_codebert_tokens,query_truncated_for_embedding,embedding_token_window,rank,faiss_l2_distance,retrieved_index,retrieved_sample_id,retrieved_label,label_matches_query,retrieved_project,retrieved_dataset_type,retrieved_source,retrieved_code_chars,retrieved_code_lines,retrieved_codebert_tokens,lexical_jaccard,query_snippet,retrieved_snippet,retrieved_source_category,retrieved_reference_family,retrieved_is_cve_reference,retrieved_source_detail,retrieved_source_signature_path,cosine_similarity,distance_gap_from_rank1,distance_percentile_in_db,query_cwe_hint,retrieved_cwe_hint,cwe_matches_query_hint
1,0,Vulnerable,patch__CVE-2019-13638,675,11,263,False,tail_512,1,5.58526611328125,8415,trace-csv::8416,Vulnerable,True,urjtag-0.8,test,dataset/signature_db_Vul_data.csv,632,1,277,0.05063291139240506,"outfile = xstrdup (optarg); outname = outfile; outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO); int make_tempfile (char const **name, char letter, char const *...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); char *nextcmd = line; line = nex...",Open Source Project,CVE/Open Source Project,True,urjtag-0.8,,0.993924,0.000000,0.000115,,,
1,0,Vulnerable,patch__CVE-2019-13638,675,11,263,False,tail_512,2,5.60089111328125,8463,trace-csv::8464,Vulnerable,True,urjtag-0.8,test,dataset/signature_db_Vul_data.csv,632,1,277,0.05063291139240506,"outfile = xstrdup (optarg); outname = outfile; outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO); int make_tempfile (char const **name, char letter, char const *...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); char *nextcmd = line; line = nex...",Open Source Project,CVE/Open Source Project,True,urjtag-0.8,,0.993906,0.015625,0.000115,,,
1,0,Vulnerable,patch__CVE-2019-13638,675,11,263,False,tail_512,3,5.60211181640625,8471,trace-csv::8472,Vulnerable,True,urjtag-0.8,test,dataset/signature_db_Vul_data.csv,592,1,262,0.05063291139240506,"outfile = xstrdup (optarg); outname = outfile; outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO); int make_tempfile (char const **name, char letter, char const *...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); t = get_token( line ); char *t =...",Open Source Project,CVE/Open Source Project,True,urjtag-0.8,,0.993901,0.016846,0.000230,,,
1,0,Vulnerable,patch__CVE-2019-13638,675,11,263,False,tail_512,4,5.602294921875,8462,trace-csv::8463,Vulnerable,True,urjtag-0.8,test,dataset/signature_db_Vul_data.csv,592,1,262,0.05063291139240506,"outfile = xstrdup (optarg); outname = outfile; outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO); int make_tempfile (char const **name, char letter, char const *...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); t = get_token( line ); char *t =...",Open Source Project,CVE/Open Source Project,True,urjtag-0.8,,0.993901,0.017029,0.000459,,,
1,0,Vulnerable,patch__CVE-2019-13638,675,11,263,False,tail_512,5,5.6055908203125,8421,trace-csv::8422,Vulnerable,True,urjtag-0.8,test,dataset/signature_db_Vul_data.csv,628,1,277,0.05,"outfile = xstrdup (optarg); outname = outfile; outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO); int make_tempfile (char const **name, char letter, char const *...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); if (!line || !(strlen( line ) > ...",Open Source Project,CVE/Open Source Project,True,urjtag-0.8,,0.993897,0.020325,0.000574,,,
1,0,Vulnerable,patch__CVE-2019-13638,675,11,263,False,tail_512,6,5.6092529296875,8423,trace-csv::8424,Vulnerable,True,urjtag-0.8,test,dataset/signature_db_Vul_data.csv,592,1,262,0.05063291139240506,"outfile = xstrdup (optarg); outname = outfile; outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO); int make_tempfile (char const **name, char letter, char const *...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); t = get_token( line ); char *t =...",Open Source Project,CVE/Open Source Project,True,urjtag-0.8,,0.993893,0.023987,0.000574,,,
2,1,Safe,patch__CVE-2019-13638,613,10,232,False,tail_512,1,5.7999267578125,8415,trace-csv::8416,Vulnerable,False,urjtag-0.8,test,dataset/signature_db_Vul_data.csv,632,1,277,0.039473684210526314,"outfile = xstrdup (optarg); outname = outfile; outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO); int make_tempfile (char const **name, char letter, char const *...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); char *nextcmd = line; line = nex...",Open Source Project,CVE/Open Source Project,True,urjtag-0.8,,0.993700,0.000000,0.000000,,,
2,1,Safe,patch__CVE-2019-13638,613,10,232,False,tail_512,2,5.8209228515625,8463,trace-csv::8464,Vulnerable,False,urjtag-0.8,test,dataset/signature_db_Vul_data.csv,632,1,277,0.039473684210526314,"outfile = xstrdup (optarg); outname = outfile; outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO); int make_tempfile (char const **name, char letter, char const *...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); char *nextcmd = line; line = nex...",Open Source Project,CVE/Open Source Project,True,urjtag-0.8,,0.993676,0.020996,0.000115,,,
2,1,Safe,patch__CVE-2019-13638,613,10,232,False,tail_512,3,5.84881591796875,8559,trace-csv::8560,Vulnerable,False,urjtag-0.8,test,dataset/signature_db_Vul_data.csv,632,1,277,0.039473684210526314,"outfile = xstrdup (optarg); outname = outfile; outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO); int make_tempfile (char const **name, char letter, char const *...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); char *nextcmd = line; line = nex...",Open Source Project,CVE/Open Source Project,True,urjtag-0.8,,0.993646,0.048889,0.000344,,,
2,1,Safe,patch__CVE-2019-13638,613,10,232,False,tail_512,4,5.8680419921875,8607,trace-csv::8608,Vulnerable,False,urjtag-0.8,test,dataset/signature_db_Vul_data.csv,632,1,277,0.039473684210526314,"outfile = xstrdup (optarg); outname = outfile; outfd = make_tempfile (&TMPOUTNAME, 'o', outname, O_WRONLY | binary_transput, instat.st_mode & S_IRWXUGO); int make_tempfile (char const **name, char letter, char const *...","while(fgets(line, 1023, stdin)); jtag_readline_multiple_commands_support( line ); nextcmd = strstr(nextcmd, ""::""); /* :: to not confuse ms-dos users ;-) */ r = jtag_parse_line( line ); char *nextcmd = line; line = nex...",Open Source Project,CVE/Open Source Project,True,urjtag-0.8,,0.993625,0.068115,0.000459,,,
